Location,Project Number,time,Parameter,Sign Field,value,Unit,Comment
SW413,20325AB_2019,2/19/2019,Copper ,,0.68,?g/L,
SW413,20325AB_2019,3/18/2019,Copper ,,1.3,?g/L,
SW413,20325AB_2019,4/1/2019,Copper ,,1.4,?g/L,
SW413,20325AB_2019,5/23/2019,Copper ,,1.2,?g/L,
SW413,20325AB_2019,6/24/2019,Copper ,,1.7,?g/L,
SW413,20325AB_2019,7/23/2019,Copper ,,1,?g/L,
SW413,20325AB_2019,8/21/2019,Copper ,,0.72,?g/L,Analyte was detected above the RL in the associated field blank.
SW411,20325AB_2018,7/26/2018,Copper ,<,0.5,?g/L,
SW411,20325AB_2018,8/22/2018,Copper ,<,0.5,?g/L,
SW411,20325AB_2018,9/25/2018,Copper ,<,0.5,?g/L,
SW411,20325AB_2018,10/25/2018,Copper ,,0.51,?g/L,
SW411,20325AB_2018,11/12/2018,Copper ,<,0.5,?g/L,
SW411,20325AB_2018,12/12/2018,Copper ,<,0.5,?g/L,
SW411,20325AB_2019,1/15/2019,Copper ,<,0.5,?g/L,
SW411,20325AB_2019,3/28/2019,Copper ,,1.6,?g/L,
SW411,20325AB_2019,4/2/2019,Copper ,<,1,?g/L,
SW411,20325AB_2019,5/22/2019,Copper ,<,0.5,?g/L,
SW411,20325AB_2019,6/18/2019,Copper ,<,0.5,?g/L,
SW411,20325AB_2019,7/24/2019,Copper ,<,1,?g/L,
SW411,20325AB_2019,8/21/2019,Copper ,<,0.5,?g/L,
SW408,20325AB_2018,7/26/2018,Copper ,<,0.5,?g/L,
SW408,20325AB_2018,8/22/2018,Copper ,<,0.5,?g/L,
SW408,20325AB_2018,9/25/2018,Copper ,<,0.5,?g/L,
SW408,20325AB_2018,10/25/2018,Copper ,<,0.18,?g/L,
SW408,20325AB_2018,11/12/2018,Copper ,<,0.5,?g/L,
SW408,20325AB_2018,12/12/2018,Copper ,<,0.5,?g/L,
SW408,20325AB_2019,1/15/2019,Copper ,<,0.5,?g/L,
SW408,20325AB_2019,2/18/2019,Copper ,<,0.5,?g/L,
SW408,20325AB_2019,3/28/2019,Copper ,<,1,?g/L,
SW408,20325AB_2019,4/2/2019,Copper ,<,1,?g/L,
SW408,20325AB_2019,5/22/2019,Copper ,,1.3,?g/L,
SW408,20325AB_2019,6/18/2019,Copper ,<,0.5,?g/L,
SW408,20325AB_2019,7/24/2019,Copper ,<,1,?g/L,
SW408,20325AB_2019,8/21/2019,Copper ,,0.52,?g/L,
SW409,20325AB_2018,7/26/2018,Copper ,<,0.5,?g/L,
SW409,20325AB_2018,8/23/2018,Copper ,,0.59,?g/L,
SW409,20325AB_2018,9/24/2018,Copper ,,0.39,?g/L,J
SW409,20325AB_2018,10/25/2018,Copper ,,0.22,?g/L,J
SW409,20325AB_2018,11/14/2018,Copper ,<,0.5,?g/L,
SW409,20325AB_2018,12/12/2018,Copper ,<,0.5,?g/L,
SW409,20325AB_2019,1/21/2019,Copper ,<,0.5,?g/L,
SW409,20325AB_2019,2/20/2019,Copper ,,0.59,?g/L,
SW409,20325AB_2019,3/19/2019,Copper ,<,1,?g/L,
SW409,20325AB_2019,4/2/2019,Copper ,,1.5,?g/L,
SW409,20325AB_2019,5/22/2019,Copper ,,0.52,?g/L,
SW409,20325AB_2019,6/18/2019,Copper ,<,0.5,?g/L,
SW409,20325AB_2019,7/24/2019,Copper ,<,1,?g/L,
SW409,20325AB_2019,8/21/2019,Copper ,,2.7,?g/L,
SW407,20325AB_2018,7/26/2018,Copper ,,1.8,?g/L,
SW407,20325AB_2018,9/25/2018,Copper ,,3.9,?g/L,
SW407,20325AB_2018,10/24/2018,Copper ,,3.5,?g/L,
SW407,20325AB_2018,11/13/2018,Copper ,,2.7,?g/L,
SW407,20325AB_2018,12/18/2018,Copper ,,6.8,?g/L,
SW407,20325AB_2019,3/28/2019,Copper ,,2.7,?g/L,
SW407,20325AB_2019,4/2/2019,Copper ,,3.2,?g/L,
SW407,20325AB_2019,5/22/2019,Copper ,,4.2,?g/L,
SW407,20325AB_2019,6/18/2019,Copper ,,4.4,?g/L,
SW407,20325AB_2019,7/24/2019,Copper ,,8.3,?g/L,
SW407,20325AB_2019,8/21/2019,Copper ,,8.4,?g/L,
SW412,20325AB_2018,7/26/2018,Copper ,,2,?g/L,
SW412,20325AB_2018,9/25/2018,Copper ,,3.6,?g/L,
SW412,20325AB_2018,10/24/2018,Copper ,,3.18,?g/L,
SW412,20325AB_2018,11/13/2018,Copper ,,4.3,?g/L,
SW412,20325AB_2018,12/18/2018,Copper ,,2.8,?g/L,
SW412,20325AB_2019,3/28/2019,Copper ,,2.6,?g/L,
SW412,20325AB_2019,4/2/2019,Copper ,,2.5,?g/L,
SW412,20325AB_2019,5/22/2019,Copper ,,3.3,?g/L,
SW412,20325AB_2019,6/18/2019,Copper ,,3.1,?g/L,
SW412,20325AB_2019,7/24/2019,Copper ,,3.4,?g/L,
SW412,20325AB_2019,8/21/2019,Copper ,,4.8,?g/L,
SW410,20325AB_2018,7/26/2018,Copper ,<,0.5,?g/L,
SW410,20325AB_2018,8/23/2018,Copper ,<,0.5,?g/L,
SW410,20325AB_2018,9/24/2018,Copper ,,0.43,?g/L,J
SW410,20325AB_2018,10/25/2018,Copper ,,0.25,?g/L,J
SW410,20325AB_2018,11/14/2018,Copper ,<,0.5,?g/L,
SW410,20325AB_2018,12/12/2018,Copper ,<,0.5,?g/L,
SW410,20325AB_2019,1/21/2019,Copper ,,0.98,?g/L,
SW410,20325AB_2019,2/20/2019,Copper ,<,0.5,?g/L,
SW410,20325AB_2019,3/18/2019,Copper ,<,1,?g/L,
SW410,20325AB_2019,4/2/2019,Copper ,<,1,?g/L,
SW410,20325AB_2019,5/22/2019,Copper ,<,0.5,?g/L,
SW410,20325AB_2019,6/18/2019,Copper ,,0.53,?g/L,
SW410,20325AB_2019,7/24/2019,Copper ,<,1,?g/L,
SW410,20325AB_2019,8/21/2019,Copper ,<,0.5,?g/L,
36/PM36WQ-N,20325CB_2019,5/6/2019,Copper ,,2.4,?g/L,Purging Strategy: Other
36/PM36WQ-N,20325CB_2019,7/10/2019,Copper ,,2,?g/L,Purging Strategy: Other (see comment in field report)
PM36WQ-S,20325CB_2018,7/31/2018,Copper ,,4.8,?g/L,
PM36WQ-S,20325CB_2018,9/24/2018,Copper ,,2.2,?g/L,
PM36WQ-S,20325CB_2018,11/9/2018,Copper ,,3.9,?g/L,
PM36WQ-S,20325CB_2019,1/7/2019,Copper ,,1.5,?g/L,
PM36WQ-S,20325CB_2019,3/11/2019,Copper ,,1.7,?g/L,
PM36WQ-S,20325CB_2019,5/6/2019,Copper ,,2.1,?g/L,
PM36WQ-S,20325CB_2019,7/10/2019,Copper ,,2.9,?g/L,
PM36WQ-N (pit by well 36),20325CB_2018,9/24/2018,Copper ,,2.3,?g/L,
PM36WQ-N (pit by well 36),20325CB_2018,11/9/2018,Copper ,,2.4,?g/L,
PM36WQ-N (pit by well 36),20325CB_2019,1/7/2019,Copper ,,2.3,?g/L,
SW414,20325AB_2018,11/13/2018,Copper ,,1.4,?g/L,
SW414,20325AB_2018,12/17/2018,Copper ,,2,?g/L,
SW414,20325AB_2019,1/22/2019,Copper ,,2.4,?g/L,
SW414,20325AB_2019,2/18/2019,Copper ,,2.2,?g/L,
SW414,20325AB_2019,3/15/2019,Copper ,,1.4,?g/L,
SW414,20325AB_2019,4/2/2019,Copper ,,2.5,?g/L,
SW414,20325AB_2019,5/23/2019,Copper ,,1.7,?g/L,
SW414,20325AB_2019,6/24/2019,Copper ,,2,?g/L,
SW414,20325AB_2019,7/24/2019,Copper ,,2.7,?g/L,
SW414,20325AB_2019,8/21/2019,Copper ,,2,?g/L,
PM-2,20325AB_2018,11/21/2018,Copper ,<,0.5,?g/L,
PM-2,20325AB_2018,12/18/2018,Copper ,<,0.5,?g/L,
PM-2,20325AB_2019,1/22/2019,Copper ,,1.3,?g/L,
PM-2,20325AB_2019,2/22/2019,Copper ,,0.83,?g/L,
PM-2,20325AB_2019,3/19/2019,Copper ,,1,?g/L,
PM-2,20325AB_2019,4/1/2019,Copper ,<,1,?g/L,
PM-2,20325AB_2019,5/30/2019,Copper ,,0.69,?g/L,
WS001,20325AD_2019,1/28/2019,Copper ,,1.2,?g/L,
WS001,20325AD_2019,2/18/2019,Copper ,,3,?g/L,
WS001,20325AD_2019,3/1/2019,Copper ,,1.1,?g/L,
WS001,20325AD_2019,4/5/2019,Copper ,,1.6,?g/L,
WS001,20325AD_2019,5/16/2019,Copper ,,0.82,?g/L,
WS001,20325AD_2019,6/7/2019,Copper ,,1.3,?g/L,
WS001,20325AD_2019,7/19/2019,Copper ,<,1,?g/L,
WS001,20325AD_2019,8/8/2019,Copper ,<,1,?g/L,
SW402,20325AB_2019,6/25/2019,Copper ,,0.72,?g/L,
SW402,20325AB_2019,7/22/2019,Copper ,<,1,?g/L,
SW402,20325AB_2019,8/20/2019,Copper ,<,0.5,?g/L,
